"Species","Longitude","Latitude"
"Tremarctos_ornatus",-73.310937,5.159837
"Tremarctos_ornatus",-73.033824,7.028384
"Tremarctos_ornatus",-75.069336,2.750614
"Tremarctos_ornatus",-72.917033,7.65063
"Tremarctos_ornatus",-76.1616,6.6167
"Tremarctos_ornatus",-75.6675,2.672222
"Tremarctos_ornatus",-75.805051,7.010313
"Tremarctos_ornatus",-73.826764,4.986047
"Tremarctos_ornatus",-73.558517,5.807583
"Tremarctos_ornatus",-73.0778,6.095
"Tremarctos_ornatus",-76.6882,1.9049
"Tremarctos_ornatus",-76.0787,4.9729
"Tremarctos_ornatus",-76.374152,2.334023
"Tremarctos_ornatus",-72.7395,10.6731
"Tremarctos_ornatus",-72.341696,6.70877
"Tremarctos_ornatus",-74.681363,3.790184
"Tremarctos_ornatus",-76.953054,0.963953
"Tremarctos_ornatus",-72.4077,6.2208
"Tremarctos_ornatus",-75.99,1.46194
"Tremarctos_ornatus",-72.5898,5.8026
"Tremarctos_ornatus",-72.4655,7.4305
"Tremarctos_ornatus",-73.712918,4.532654
"Tremarctos_ornatus",-76.9385,1.5123
"Tremarctos_ornatus",-75.889941,5.535894
"Tremarctos_ornatus",-76.018031,1.937145
"Tremarctos_ornatus",-75.833667,3.888889
"Tremarctos_ornatus",-75.209787,7.082879
"Tremarctos_ornatus",-76.057833,3.451917
